id,created_at,text,likes,in reply to,retweeted,language
1447933636846702593,2021-10-12 14:34:14+00:00,"RT @aapkadharam: https://t.co/bLmJz7Jlej. Friends, love you all. I am extremely happy to notice your loving response to my post with my lov…",0,,False,en
1447933628235845646,2021-10-12 14:34:12+00:00,"RT @Canary_Primary: Canary doesnt miss a beat, shes very direct 😂the raccoon girl never stood a chance

the red boy taxi driver is Malcolm…",0,,False,en
1447933627354992642,2021-10-12 14:34:12+00:00,"RT @Hasscompilation: Die Wahrscheinlichkeit, dass du dich in deinem Leben mal von Lothar Matthäus scheiden lässt ist höher als bei Mcdonald…",0,,False,de
1447933601669165059,2021-10-12 14:34:06+00:00,@CabbieOO7 @bppulseuk @MotorFuelGroup Not sure if you have tried the Bonnet App - gives more choice including ESB a… https://t.co/W9sdeBhXi7,0,CabbieOO7,False,en
1447933573361815553,2021-10-12 14:33:59+00:00,Simon Dominics ost for taxi driver &gt;&gt; https://t.co/74HGCGNl2D,0,,False,en
1447933515954262030,2021-10-12 14:33:46+00:00,"que sacanagem, aumetaram o preço do moto taxi",0,,False,pt
1447933495943340040,2021-10-12 14:33:41+00:00,"@dellucieee Por eso una cita de ese tipo hay que hacerla en un lugar concurrido y público. 
Cualquier cosa no le gu… https://t.co/raDeNpz626",0,dellucieee,False,es
1447933494127210502,2021-10-12 14:33:40+00:00,RT @adamasaliiiiii1: haziran and biricik or idil and biricik #aşkvazgeçmez,0,,False,tr
1447933486036312072,2021-10-12 14:33:39+00:00,"RT @saya_riri84: 🎁現金プレゼント企画 今月⑨🎁

【🎉 総 額 ２０００ 万 円 🎉】

生活にお困りの方へ、毎日４人に
『５００万』ずつ配布します❇️

【参加方法】
フォロー＆ＲＴだけ✨

今日の締切は明日21時まで✍️

当選者の方には順次ご連絡するので…",0,,False,ja
1447933480722173954,2021-10-12 14:33:37+00:00,HIT A COUPLE BARS ON THE WAY HOME I THINK WE GOT A TAXI BUT FUCK KNOWS HOW WE ENDED UP AT YOUR PLACE ALONE https://t.co/Biav7igyFk,1,,False,en
1447933475932282892,2021-10-12 14:33:36+00:00,"@ksheldongh This make I kai 2013 I jie money dey go pay my UCC fees. Wallet drop for taxi inside. Money gone, cards… https://t.co/yOPm4c2KDq",0,ksheldongh,False,en
1447933475714129921,2021-10-12 14:33:36+00:00,"RT @kenjhoa: iam maybe a gossiper but i really wanna know what are they talking about waaaaaah

#aşkvazgeçmez",0,,False,en
1447933466226663433,2021-10-12 14:33:34+00:00,RT @seekinghappi: does anybody else like to eat non traditional items for breakfast like pizza ramen or tamales that im going to eat now…,0,,False,en
1447933461025726477,2021-10-12 14:33:33+00:00,RT @OnlyInBOS: The taxi line at Logan Airport last night because there are a limited number of Lyft and Uber drivers operating at night in…,0,,False,en
1447933456164474885,2021-10-12 14:33:31+00:00,RT @CTRavi_BJP: It appears that Taxi Drivers around the World are more qualified than the former Chief Economic Adviser of Sonia Gandhi Gov…,0,,False,en
